Created as New Dataset,Sample 001 By IIST Date Wednesday, June 23 2021
cm-1,%T
3206.00,93.52
3205.00,93.54
3204.00,93.57
3203.00,93.59
3202.00,93.60
3201.00,93.62
3200.00,93.65
3199.00,93.68
3198.00,93.70
3197.00,93.72
3196.00,93.74
3195.00,93.75
3194.00,93.76
3193.00,93.77
3192.00,93.80
3191.00,93.85
3190.00,93.89
3189.00,93.93
3188.00,93.95
3187.00,93.96
3186.00,93.97
3185.00,93.99
3184.00,94.01
3183.00,94.03
3182.00,94.06
3181.00,94.10
3180.00,94.14
3179.00,94.17
3178.00,94.20
3177.00,94.22
3176.00,94.24
3175.00,94.27
3174.00,94.30
3173.00,94.32
3172.00,94.33
3171.00,94.35
3170.00,94.37
3169.00,94.40
3168.00,94.42
3167.00,94.45
3166.00,94.47
3165.00,94.49
3164.00,94.51
3163.00,94.52
3162.00,94.54
3161.00,94.55
3160.00,94.57
3159.00,94.60
3158.00,94.63
3157.00,94.65
3156.00,94.68
3155.00,94.69
3154.00,94.71
3153.00,94.73
3152.00,94.76
3151.00,94.80
3150.00,94.84
3149.00,94.86
3148.00,94.88
3147.00,94.90
3146.00,94.92
3145.00,94.95
3144.00,94.98
3143.00,95.01
3142.00,95.03
3141.00,95.05
3140.00,95.07
3139.00,95.08
3138.00,95.10
3137.00,95.13
3136.00,95.17
3135.00,95.20
3134.00,95.22
3133.00,95.24
3132.00,95.25
3131.00,95.26
3130.00,95.28
3129.00,95.31
3128.00,95.33
3127.00,95.35
3126.00,95.36
3125.00,95.36
3124.00,95.38
3123.00,95.41
3122.00,95.44
3121.00,95.47
3120.00,95.49
3119.00,95.50
3118.00,95.51
3117.00,95.53
3116.00,95.55
3115.00,95.58
3114.00,95.61
3113.00,95.63
3112.00,95.64
3111.00,95.66
3110.00,95.68
3109.00,95.70
3108.00,95.73
3107.00,95.75
3106.00,95.77
3105.00,95.79
3104.00,95.82
3103.00,95.85
3102.00,95.88
3101.00,95.90
3100.00,95.92
3099.00,95.93
3098.00,95.95
3097.00,95.96
3096.00,95.98
3095.00,95.99
3094.00,96.00
3093.00,96.01
3092.00,96.02
3091.00,96.05
3090.00,96.07
3089.00,96.10
3088.00,96.13
3087.00,96.15
3086.00,96.17
3085.00,96.18
3084.00,96.19
3083.00,96.20
3082.00,96.22
3081.00,96.25
3080.00,96.27
3079.00,96.30
3078.00,96.33
3077.00,96.36
3076.00,96.38
3075.00,96.41
3074.00,96.44
3073.00,96.45
3072.00,96.46
3071.00,96.46
3070.00,96.47
3069.00,96.49
3068.00,96.50
3067.00,96.52
3066.00,96.53
3065.00,96.54
3064.00,96.55
3063.00,96.56
3062.00,96.57
3061.00,96.58
3060.00,96.60
3059.00,96.63
3058.00,96.66
3057.00,96.69
3056.00,96.70
3055.00,96.71
3054.00,96.71
3053.00,96.71
3052.00,96.71
3051.00,96.72
3050.00,96.75
3049.00,96.77
3048.00,96.80
3047.00,96.83
3046.00,96.85
3045.00,96.86
3044.00,96.87
3043.00,96.88
3042.00,96.89
3041.00,96.90
3040.00,96.92
3039.00,96.94
3038.00,96.95
3037.00,96.96
3036.00,96.96
3035.00,96.97
3034.00,96.98
3033.00,96.99
3032.00,97.00
